FIPSCode,QB1a
1709900000,26
1710100000,5
1710300000,15
1710500000,6
1710700000,1
1710900000,8
1711100000,79
1711300000,50
1711500000,26
1711700000,20
1711900000,87
1712100000,11
1712300000,1
1712500000,4
1712700000,6
1712900000,3
1713100000,10
1713300000,15
1713500000,6
1713700000,1
1713900000,3
1714000000,1096
1714100000,13
1714300000,39
1714500000,0
1714700000,7
1714900000,0
1715100000,4
1715300000,1
1715500000,3
1715700000,9
1715900000,3
1716100000,61
1716300000,210
1716500000,16
1716700000,74
1716900000,10
1717100000,1
1717300000,10
1717500000,0
1717700000,7
1717900000,35
1718100000,4
1718300000,11
1718500000,8
1718563000,3
1718700000,10
1718900000,6
1719100000,1
1719300000,4
1719500000,16
1719700000,159
1719900000,152
1720100000,39
1720300000,15
1722255000,4
1728326000,3
1759000000,29
1765000000,30
1800100000,7
1800300000,84
1800500000,28
1800700000,1
1800900000,
1801100000,14
1801300000,6
1801500000,1
1801700000,9
1801900000,22
1802100000,9
1802300000,4
1802500000,4
1802700000,7
1802900000,3
1803100000,6
1803300000,2
1803500000,18
1803700000,6
1803900000,25
1804100000,11
1804300000,22
1804500000,2
1804700000,5
1804900000,5
1805100000,8
1805300000,16
1805500000,4
1805700000,51
1805900000,18
1806100000,10
1806300000,24
1806500000,3
1806700000,13
1806900000,7
1807100000,14
1807300000,8
1807500000,7
1807700000,14
1807900000,15
1808100000,26
1808300000,3
1808500000,20
1808700000,5
1808900000,44
1809100000,19
1809300000,9
1809500000,20
1809700000,175
1809900000,13
1810100000,3
1810300000,13
1810500000,92
1810700000,10
1810900000,11
1811100000,1
1811300000,13
1811500000,1
1811700000,1
1811900000,6
1812100000,2
1812300000,6
1812500000,3
1812700000,36
1812900000,5
1813100000,
1813300000,6
1813500000,1
1813700000,2
1813900000,1
1814100000,72
1814300000,7
1814500000,8
1814700000,4
1814900000,4
1815100000,5
1815300000,5
1815500000,7
1815700000,49
1815900000,3
1816100000,1
1816300000,35
1816500000,4
1816700000,19
1816900000,3
1817100000,2
1817300000,7
1817500000,2
1817700000,13
1817900000,4
1818100000,4
1818300000,17
1900100000,2
1900300000,2
1900500000,1
1900700000,0
1900900000,3
1901100000,12
1901300000,21
1901500000,12
1901700000,5
1901900000,5
1902100000,2
1902300000,6
1902500000,5
1902700000,8
1902900000,1
1903100000,2
1903300000,14
1903500000,4
1903700000,11
1903900000,1
1904100000,4
1904300000,6
1904500000,14
1904700000,10
1904900000,14
1905100000,2
1905300000,1
1905500000,5
1905700000,7
1905900000,2
1906100000,17
1906300000,4
1906500000,0
1906700000,8
1906900000,3
1907100000,1
1907300000,3
1907500000,1
1907700000,0
1907900000,7
1908100000,4
1908300000,12
1908500000,0
1908700000,5
1908900000,4
1909100000,3
1909300000,2
1909500000,1
1909700000,13
1909900000,11
1910100000,11
1910300000,22
1910500000,6
1910700000,0
1910900000,5
1911100000,7
1911300000,21
1911500000,1
1911700000,0
1911900000,1
1912100000,3
1912300000,8
1912500000,12
1912700000,5
1912900000,1
1913100000,10
1913300000,7
1913500000,0
1913700000,1
1913900000,13
1914100000,3
1914300000,4
1914500000,1
1914700000,2
1914900000,2
1915100000,2
1915300000,21
1915500000,14
1915700000,5
1915900000,0
1916100000,0
1916300000,16
1916500000,3
1916700000,8
1916900000,25
1917100000,2
1917300000,0
1917500000,5
1917700000,5
1917900000,4
1918100000,12
1918300000,5
1918500000,0
1918700000,7
1918900000,2
1919100000,14
1919300000,17
1919500000,1
1919700000,2
2000100000,2
2000300000,0
2000500000,8
2000700000,0
2000900000,2
2001100000,8
2001300000,4
2001500000,19
2001700000,2
2001900000,0
2002100000,4
2002300000,1
2002500000,0
2002700000,4
2002900000,2
2003100000,4
2003300000,0
2003500000,6
2003700000,11
2003900000,1
2004100000,4
2004300000,2
2004500000,99
2004700000,1
2004900000,0
2005100000,2
2005300000,0
2005500000,4
2005700000,1
2005900000,4
2006100000,5
2006300000,0
2006500000,1
2006700000,1
2006900000,1
2007100000,0
2007300000,0
2007500000,0
2007700000,
2007900000,31
2008100000,0
2008300000,0
2008500000,
2008700000,5
2008900000,0
2009100000,172
2009300000,0
2009500000,0
2009700000,0
2009900000,3
2010100000,0
2010300000,45
2010500000,3
2010700000,0
2010900000,0
2011100000,11
2011300000,9
2011500000,2
2011700000,2
2011900000,0
2012100000,4
2012300000,4
2012500000,0
2012700000,1
2012900000,0
2013100000,5
2013300000,0
2013500000,1
2013700000,0
2013900000,3
2014100000,0
2014300000,3
2014500000,0
2014700000,
2014900000,14
2015100000,0
2015300000,0
2015500000,8
2015700000,2
2015900000,0
2016100000,47
2016300000,0
2016500000,3
2016700000,1
2016900000,12
2017100000,1
2017300000,120
2017500000,2
2017700000,91
2017900000,0
2018100000,2
2018300000,1
2018500000,0
2018700000,0
2018900000,0
2019100000,8
2019300000,1
2019500000,0
2019700000,1
2019900000,0
2020100000,1
2020300000,0
2020500000,0
2020700000,3
2020900000,20
2100100000,5
2100300000,1
2100500000,10
2100700000,2
2100900000,4
2101100000,0
2101300000,4
2101500000,20
2101700000,3
2101900000,11
2102100000,16
2102300000,1
2102500000,7
2102700000,11
2102900000,24
2103100000,4
2103300000,9
2103500000,10
2103700000,32
2103900000,0
2104100000,1
2104300000,7
2104500000,3
2104700000,33
2104900000,12
2105100000,2
2105300000,3
