FIPSCode,QA3a,QA3b,Registration,,,
1321900000,22515,2265,24780,,,
1322100000,7602,1147,8749,,,
1322300000,74341,12449,86790,,,
1322500000,14488,2512,17000,,,
1322700000,16590,2377,18967,,,
1322900000,9297,1216,10513,,,
1323100000,10149,1248,11397,,,
1323300000,17958,3071,21029,,,
1323500000,4943,473,5416,,,
1323700000,11477,1481,12958,,,
1323900000,1380,114,1494,,,
1324100000,9414,1257,10671,,,
1324300000,3901,305,4206,,,
1324500000,101290,24734,126024,,,
1324700000,48666,8085,56751,,,
1324900000,2231,343,2574,,,
1325100000,7695,1385,9080,,,
1325300000,4890,893,5783,,,
1325500000,34153,5220,39373,,,
1325700000,12893,2404,15297,,,
1325900000,2864,165,3029,,,
1326100000,15215,2286,17501,,,
1326300000,4182,398,4580,,,
1326500000,1199,77,1276,,,
1326700000,9097,1262,10359,,,
1326900000,4272,547,4819,,,
1327100000,5267,897,6164,,,
1327300000,5790,675,6465,,,
1327500000,24409,4151,28560,,,
1327700000,19480,2631,22111,,,
1327900000,11737,2604,14341,,,
1328100000,8075,521,8596,,,
1328300000,3714,347,4061,,,
1328500000,34454,6509,40963,,,
1328700000,4680,631,5311,,,
1328900000,5382,793,6175,,,
1329100000,13566,1789,15355,,,
1329300000,13865,2017,15882,,,
1329500000,30488,7514,38002,,,
1329700000,48220,7499,55719,,,
1329900000,15779,2786,18565,,,
1330100000,3144,400,3544,,,
1330300000,10939,1400,12339,,,
1330500000,13607,2365,15972,,,
1330700000,1435,98,1533,,,
1330900000,2864,360,3224,,,
1331100000,13817,2074,15891,,,
1331300000,37603,7080,44683,,,
1331500000,3892,576,4468,,,
1331700000,5845,559,6404,,,
1331900000,5360,648,6008,,,
1332100000,10815,1587,12402,,,
1500100000,93269,11926,105195,,,
1500300000,423660,50670,474330,,,
1500500000,,,0.00%,,,
1500700000,37362,4507,41869,,,
1500900000,76349,10978,87327,,,
1600100000,226636,,226636,,,
1600300000,2471,,2471,,,
1600500000,42233,,42233,,,
1600700000,3297,,3297,,,
1600900000,4881,,4881,,,
1601100000,20056,,20056,,,
1601300000,12138,,12138,,,
1601500000,4416,,4416,,,
1601700000,22629,,22629,,,
1601900000,49662,,49662,,,
1602100000,5755,,5755,,,
1602300000,1564,,1564,,,
1602500000,702,,702,,,
1602700000,81304,,81304,,,
1602900000,3656,,3656,,,
1603100000,9686,,9686,,,
1603300000,375,,375,,,
1603500000,4574,,4574,,,
1603700000,2865,,2865,,,
1603900000,9970,,9970,,,
1604100000,6150,,6150,,,
1604300000,6724,,6724,,,
1604500000,9194,,9194,,,
